,Date,Adj close,Close,High,Low,Open,Volume
0,2023-04-24,165.0,165.0,165.0,165.0,165.0,0
1,2023-04-25,165.0,165.0,165.0,165.0,165.0,0
2,2023-04-26,165.0,165.0,165.0,165.0,165.0,1
3,2023-04-27,165.0,165.0,165.0,165.0,165.0,1
4,2023-04-28,165.0,165.0,165.0,160.0,165.0,13
5,2023-05-02,160.0,160.0,165.0,160.0,165.0,23
6,2023-05-03,160.0,160.0,160.0,155.0,160.0,5
7,2023-05-04,155.0,155.0,165.0,155.0,165.0,4
8,2023-05-05,150.0,150.0,155.0,150.0,155.0,40
9,2023-05-08,150.0,150.0,155.0,145.0,155.0,74
10,2023-05-09,155.0,155.0,155.0,145.0,145.0,29
11,2023-05-10,160.0,160.0,160.0,150.0,155.0,15
12,2023-05-11,160.0,160.0,160.0,160.0,160.0,0
13,2023-05-12,160.0,160.0,160.0,160.0,160.0,0
14,2023-05-15,160.0,160.0,160.0,160.0,160.0,0
15,2023-05-16,160.0,160.0,160.0,160.0,160.0,2
16,2023-05-17,160.0,160.0,160.0,160.0,160.0,0
17,2023-05-18,155.0,155.0,155.0,155.0,155.0,0
18,2023-05-19,155.0,155.0,155.0,150.0,150.0,6
19,2023-05-22,155.0,155.0,155.0,155.0,155.0,0
20,2023-05-23,160.0,160.0,160.0,150.0,150.0,46
21,2023-05-24,160.0,160.0,160.0,160.0,160.0,3
22,2023-05-25,155.0,155.0,155.0,155.0,155.0,3
23,2023-05-26,155.0,155.0,155.0,155.0,155.0,0
24,2023-05-29,150.0,150.0,155.0,150.0,155.0,10
25,2023-05-30,150.0,150.0,150.0,150.0,150.0,0
26,2023-05-31,145.0,145.0,155.0,145.0,150.0,292
27,2023-06-01,150.0,150.0,150.0,140.0,140.0,178
28,2023-06-02,150.0,150.0,150.0,145.0,150.0,38
29,2023-06-05,150.0,150.0,155.0,145.0,150.0,106
30,2023-06-06,155.0,155.0,155.0,150.0,150.0,2
31,2023-06-07,160.0,160.0,160.0,150.0,160.0,96
32,2023-06-08,165.0,165.0,165.0,155.0,155.0,49
33,2023-06-09,160.0,160.0,160.0,160.0,160.0,4
34,2023-06-12,160.0,160.0,160.0,155.0,155.0,63
35,2023-06-13,155.0,155.0,160.0,155.0,160.0,12
36,2023-06-14,155.0,155.0,155.0,150.0,150.0,15
37,2023-06-15,155.0,155.0,155.0,155.0,155.0,9
38,2023-06-16,150.0,150.0,150.0,150.0,150.0,8
39,2023-06-19,145.0,145.0,150.0,145.0,145.0,10
40,2023-06-20,140.0,140.0,140.0,140.0,140.0,10
41,2023-06-21,135.0,135.0,140.0,135.0,135.0,154
42,2023-06-22,140.0,140.0,140.0,130.0,130.0,3
43,2023-06-23,145.0,145.0,145.0,140.0,140.0,9
44,2023-06-26,140.0,140.0,145.0,140.0,145.0,1
45,2023-06-27,140.0,140.0,140.0,135.0,135.0,51
46,2023-06-28,140.0,140.0,140.0,140.0,140.0,0
47,2023-06-30,140.0,140.0,140.0,135.0,140.0,7
48,2023-07-03,135.0,135.0,135.0,135.0,135.0,4
49,2023-07-04,135.0,135.0,135.0,130.0,130.0,35
50,2023-07-05,135.0,135.0,135.0,135.0,135.0,0
51,2023-07-06,135.0,135.0,140.0,135.0,140.0,26
52,2023-07-07,130.0,130.0,140.0,130.0,135.0,313
53,2023-07-10,130.0,130.0,130.0,130.0,130.0,0
54,2023-07-11,135.0,135.0,135.0,135.0,135.0,0
55,2023-07-12,135.0,135.0,140.0,130.0,140.0,27
56,2023-07-13,135.0,135.0,135.0,135.0,135.0,16
57,2023-07-14,135.0,135.0,140.0,135.0,140.0,97
58,2023-07-17,135.0,135.0,135.0,130.0,130.0,7
59,2023-07-18,135.0,135.0,135.0,130.0,135.0,9
60,2023-07-19,140.0,140.0,140.0,130.0,135.0,234
61,2023-07-20,140.0,140.0,140.0,135.0,140.0,20
62,2023-07-21,135.0,135.0,145.0,135.0,135.0,32
63,2023-07-24,130.0,130.0,135.0,130.0,135.0,15
64,2023-07-25,130.0,130.0,130.0,130.0,130.0,0
65,2023-07-26,135.0,135.0,135.0,135.0,135.0,1
66,2023-07-27,135.0,135.0,135.0,130.0,130.0,21
67,2023-07-28,140.0,140.0,140.0,140.0,140.0,3
68,2023-07-31,140.0,140.0,140.0,140.0,140.0,13
69,2023-08-01,145.0,145.0,145.0,140.0,140.0,17
70,2023-08-02,150.0,150.0,150.0,150.0,150.0,10
71,2023-08-03,150.0,150.0,150.0,150.0,150.0,0
72,2023-08-04,150.0,150.0,150.0,150.0,150.0,0
73,2023-08-07,145.0,145.0,145.0,145.0,145.0,1
74,2023-08-08,145.0,145.0,145.0,145.0,145.0,0
75,2023-08-09,145.0,145.0,145.0,145.0,145.0,0
76,2023-08-10,145.0,145.0,145.0,145.0,145.0,0
77,2023-08-11,145.0,145.0,145.0,145.0,145.0,0
78,2023-08-14,145.0,145.0,145.0,140.0,145.0,51
79,2023-08-16,145.0,145.0,145.0,145.0,145.0,0
80,2023-08-17,145.0,145.0,145.0,145.0,145.0,0
81,2023-08-18,145.0,145.0,145.0,145.0,145.0,0
82,2023-08-21,140.0,140.0,145.0,140.0,145.0,35
83,2023-08-22,140.0,140.0,140.0,140.0,140.0,0
84,2023-08-23,140.0,140.0,140.0,140.0,140.0,0
85,2023-08-24,140.0,140.0,140.0,140.0,140.0,0
86,2023-08-25,140.0,140.0,140.0,140.0,140.0,0
87,2023-08-28,135.0,135.0,135.0,135.0,135.0,8
88,2023-08-29,135.0,135.0,135.0,135.0,135.0,0
89,2023-08-30,135.0,135.0,135.0,135.0,135.0,0
90,2023-08-31,135.0,135.0,135.0,135.0,135.0,0
91,2023-09-01,135.0,135.0,135.0,135.0,135.0,0
92,2023-09-04,130.0,130.0,130.0,130.0,130.0,101
93,2023-09-05,130.0,130.0,130.0,130.0,130.0,0
94,2023-09-06,130.0,130.0,130.0,130.0,130.0,0
95,2023-09-07,130.0,130.0,130.0,130.0,130.0,0
96,2023-09-08,130.0,130.0,130.0,130.0,130.0,0
97,2023-09-11,130.0,130.0,130.0,130.0,130.0,80
98,2023-09-12,130.0,130.0,130.0,130.0,130.0,0
99,2023-09-13,130.0,130.0,130.0,130.0,130.0,0
100,2023-09-14,130.0,130.0,130.0,130.0,130.0,0
101,2023-09-15,130.0,130.0,130.0,130.0,130.0,0
102,2023-09-18,130.0,130.0,130.0,125.0,125.0,203
103,2023-09-20,130.0,130.0,130.0,130.0,130.0,0
104,2023-09-21,130.0,130.0,130.0,130.0,130.0,0
105,2023-09-22,130.0,130.0,130.0,130.0,130.0,0
106,2023-09-25,130.0,130.0,130.0,130.0,130.0,81
107,2023-09-26,130.0,130.0,130.0,130.0,130.0,0
108,2023-09-27,130.0,130.0,130.0,130.0,130.0,0
109,2023-09-28,130.0,130.0,130.0,130.0,130.0,0
110,2023-09-29,130.0,130.0,130.0,130.0,130.0,0
111,2023-10-03,135.0,135.0,135.0,125.0,125.0,69
112,2023-10-04,140.0,140.0,140.0,140.0,140.0,27
113,2023-10-05,145.0,145.0,145.0,145.0,145.0,17
114,2023-10-06,150.0,150.0,150.0,150.0,150.0,12
115,2023-10-09,155.0,155.0,155.0,155.0,155.0,27
116,2023-10-10,160.0,160.0,160.0,160.0,160.0,5
117,2023-10-11,165.0,165.0,165.0,165.0,165.0,207
118,2023-10-12,165.0,165.0,165.0,165.0,165.0,0
119,2023-10-13,165.0,165.0,165.0,165.0,165.0,0
120,2023-10-16,165.0,165.0,165.0,165.0,165.0,10
121,2023-10-17,165.0,165.0,165.0,165.0,165.0,0
122,2023-10-18,165.0,165.0,165.0,165.0,165.0,0
123,2023-10-19,165.0,165.0,165.0,165.0,165.0,0
124,2023-10-20,165.0,165.0,165.0,165.0,165.0,0
125,2023-10-23,165.0,165.0,165.0,165.0,165.0,1
126,2023-10-25,165.0,165.0,165.0,165.0,165.0,0
127,2023-10-26,165.0,165.0,165.0,165.0,165.0,0
128,2023-10-27,165.0,165.0,165.0,165.0,165.0,0
129,2023-10-30,165.0,165.0,170.0,165.0,165.0,25
130,2023-10-31,165.0,165.0,165.0,165.0,165.0,0
131,2023-11-01,165.0,165.0,165.0,165.0,165.0,0
132,2023-11-02,165.0,165.0,165.0,165.0,165.0,0
133,2023-11-03,165.0,165.0,165.0,165.0,165.0,0
134,2023-11-06,160.0,160.0,165.0,160.0,165.0,20
135,2023-11-07,160.0,160.0,160.0,160.0,160.0,0
136,2023-11-08,160.0,160.0,160.0,160.0,160.0,0
137,2023-11-09,160.0,160.0,160.0,160.0,160.0,0
138,2023-11-10,160.0,160.0,160.0,160.0,160.0,0
139,2023-11-13,160.0,160.0,160.0,160.0,160.0,1
140,2023-11-15,160.0,160.0,160.0,160.0,160.0,0
141,2023-11-16,160.0,160.0,160.0,160.0,160.0,0
142,2023-11-17,160.0,160.0,160.0,160.0,160.0,0
143,2023-11-20,155.0,155.0,165.0,155.0,165.0,42
144,2023-11-21,155.0,155.0,155.0,155.0,155.0,0
145,2023-11-22,155.0,155.0,155.0,155.0,155.0,0
146,2023-11-23,155.0,155.0,155.0,155.0,155.0,0
147,2023-11-24,155.0,155.0,155.0,155.0,155.0,0
148,2023-11-28,150.0,150.0,150.0,150.0,150.0,34
149,2023-11-29,150.0,150.0,150.0,150.0,150.0,0
150,2023-11-30,150.0,150.0,150.0,150.0,150.0,0
151,2023-12-01,155.0,155.0,155.0,155.0,155.0,60
152,2023-12-04,160.0,160.0,160.0,160.0,160.0,2
153,2023-12-05,165.0,165.0,165.0,165.0,165.0,12
154,2023-12-06,170.0,170.0,170.0,170.0,170.0,9
155,2023-12-07,170.0,170.0,170.0,170.0,170.0,0
156,2023-12-08,180.0,180.0,180.0,180.0,180.0,18
157,2023-12-11,185.0,185.0,185.0,185.0,185.0,6
158,2023-12-12,185.0,185.0,185.0,185.0,185.0,0
159,2023-12-13,185.0,185.0,185.0,185.0,185.0,0
160,2023-12-14,190.0,190.0,190.0,190.0,190.0,318
161,2023-12-15,195.0,195.0,195.0,195.0,195.0,39
162,2023-12-18,200.0,200.0,200.0,200.0,200.0,51
163,2023-12-19,210.0,210.0,210.0,210.0,210.0,441
164,2023-12-20,220.0,220.0,220.0,220.0,220.0,99
165,2023-12-21,230.0,230.0,230.0,230.0,230.0,375
166,2023-12-22,240.0,240.0,240.0,240.0,240.0,63
167,2023-12-26,250.0,250.0,250.0,250.0,250.0,242
168,2023-12-27,260.0,260.0,260.0,260.0,260.0,48
169,2023-12-28,270.0,270.0,270.0,270.0,270.0,430
170,2023-12-29,280.0,280.0,280.0,280.0,280.0,30
171,2024-01-01,290.0,290.0,290.0,290.0,290.0,25
172,2024-01-02,300.0,300.0,300.0,300.0,300.0,34
173,2024-01-03,305.0,305.0,305.0,305.0,305.0,100
174,2024-01-04,310.0,310.0,310.0,310.0,310.0,77
175,2024-01-05,315.0,315.0,315.0,315.0,315.0,69
176,2024-01-08,320.0,320.0,320.0,320.0,320.0,47
177,2024-01-09,325.0,325.0,325.0,325.0,325.0,13
178,2024-01-10,330.0,330.0,330.0,330.0,330.0,17
179,2024-01-11,335.0,335.0,335.0,335.0,335.0,34
180,2024-01-12,340.0,340.0,340.0,340.0,340.0,15
181,2024-01-15,345.0,345.0,345.0,345.0,345.0,68
182,2024-01-16,350.0,350.0,350.0,350.0,350.0,61
183,2024-01-17,355.0,355.0,355.0,355.0,355.0,147
184,2024-01-18,360.0,360.0,360.0,360.0,360.0,60
185,2024-01-19,365.0,365.0,365.0,365.0,365.0,125
186,2024-01-23,375.0,375.0,375.0,375.0,375.0,89
187,2024-01-24,375.0,375.0,375.0,375.0,375.0,0
188,2024-01-25,375.0,375.0,375.0,375.0,375.0,0
189,2024-01-29,375.0,375.0,375.0,375.0,375.0,0
190,2024-01-30,375.0,375.0,375.0,375.0,375.0,0
191,2024-01-31,375.0,375.0,375.0,375.0,375.0,0
192,2024-02-01,375.0,375.0,375.0,375.0,375.0,0
193,2024-02-02,375.0,375.0,375.0,375.0,375.0,0
194,2024-02-05,375.0,375.0,375.0,375.0,375.0,0
195,2024-02-06,375.0,375.0,375.0,375.0,375.0,0
196,2024-02-07,375.0,375.0,375.0,375.0,375.0,0
197,2024-02-08,375.0,375.0,375.0,375.0,375.0,0
198,2024-02-09,375.0,375.0,375.0,375.0,375.0,0
199,2024-02-12,375.0,375.0,375.0,375.0,375.0,0
200,2024-02-13,375.0,375.0,375.0,375.0,375.0,0
201,2024-02-14,375.0,375.0,375.0,375.0,375.0,0
202,2024-02-15,375.0,375.0,375.0,375.0,375.0,0
203,2024-02-16,375.0,375.0,375.0,375.0,375.0,0
204,2024-02-19,375.0,375.0,375.0,375.0,375.0,0
205,2024-02-20,375.0,375.0,375.0,375.0,375.0,0
206,2024-02-21,375.0,375.0,375.0,375.0,375.0,0
207,2024-02-22,375.0,375.0,375.0,375.0,375.0,0
208,2024-02-23,375.0,375.0,375.0,375.0,375.0,0
209,2024-02-26,375.0,375.0,375.0,375.0,375.0,0
210,2024-02-27,375.0,375.0,375.0,375.0,375.0,0
211,2024-02-28,375.0,375.0,375.0,375.0,375.0,0
212,2024-02-29,375.0,375.0,375.0,375.0,375.0,0
213,2024-03-01,375.0,375.0,375.0,375.0,375.0,0
214,2024-03-04,375.0,375.0,375.0,375.0,375.0,0
215,2024-03-05,375.0,375.0,375.0,375.0,375.0,0
216,2024-03-06,375.0,375.0,375.0,375.0,375.0,0
