,Date,Adj close,Close,High,Low,Open,Volume
0,2023-04-24,296.54998779296875,296.54998779296875,304.95001220703125,295.1000061035156,300.1499938964844,44540
1,2023-04-25,302.75,302.75,311.3500061035156,296.8500061035156,299.79998779296875,65430
2,2023-04-26,308.6000061035156,308.6000061035156,312.0,300.04998779296875,304.3500061035156,36261
3,2023-04-27,304.3500061035156,304.3500061035156,309.1499938964844,303.1499938964844,308.6499938964844,20712
4,2023-04-28,304.5,304.5,310.70001220703125,302.04998779296875,302.6499938964844,31197
5,2023-05-02,319.6000061035156,319.6000061035156,319.70001220703125,301.0,301.0,144939
6,2023-05-03,335.54998779296875,335.54998779296875,335.54998779296875,313.5,320.3999938964844,199448
7,2023-05-04,345.54998779296875,345.54998779296875,352.29998779296875,325.95001220703125,341.1000061035156,342248
8,2023-05-05,337.1000061035156,337.1000061035156,350.45001220703125,336.04998779296875,342.8500061035156,51242
9,2023-05-08,325.5,325.5,345.20001220703125,320.25,339.0,94161
10,2023-05-09,338.70001220703125,338.70001220703125,341.70001220703125,318.25,318.25,145220
11,2023-05-10,333.1499938964844,333.1499938964844,351.0,330.25,343.70001220703125,74217
12,2023-05-11,339.3999938964844,339.3999938964844,342.8999938964844,333.0,336.0,35653
13,2023-05-12,336.8999938964844,336.8999938964844,344.1499938964844,329.54998779296875,341.45001220703125,61174
14,2023-05-15,322.54998779296875,322.54998779296875,342.0,320.04998779296875,339.3500061035156,133482
15,2023-05-16,324.8500061035156,324.8500061035156,328.79998779296875,314.20001220703125,316.75,70326
16,2023-05-17,333.54998779296875,333.54998779296875,336.8999938964844,325.0,325.20001220703125,36158
17,2023-05-18,349.6499938964844,349.6499938964844,350.20001220703125,332.54998779296875,333.95001220703125,285737
18,2023-05-19,367.1000061035156,367.1000061035156,367.1000061035156,345.0,351.3999938964844,197904
19,2023-05-22,385.45001220703125,385.45001220703125,385.45001220703125,357.0,373.29998779296875,190011
20,2023-05-23,378.29998779296875,378.29998779296875,403.0,373.70001220703125,394.0,144413
21,2023-05-24,374.1499938964844,374.1499938964844,387.45001220703125,369.0,378.0,52961
22,2023-05-25,374.29998779296875,374.29998779296875,386.95001220703125,363.6000061035156,385.0,77298
23,2023-05-26,366.54998779296875,366.54998779296875,389.8999938964844,355.6000061035156,388.95001220703125,117805
24,2023-05-29,370.29998779296875,370.29998779296875,376.0,360.04998779296875,360.04998779296875,81304
