symbol,phasec_score,ranking_score,tags,close,final_score
BERGEPAINT.NS,55.0,40.0,"ABSORPTION,PHASE_D",478.25,75.0
DIGISPICE.NS,55.0,40.0,"ABSORPTION,PHASE_D",20.479999542236328,75.0
ASIANPAINT.NS,55.0,40.0,"ABSORPTION,PHASE_D",2562.89990234375,75.0
GHCL.NS,55.0,40.0,"ABSORPTION,PHASE_D",506.8999938964844,75.0
SAMHI.NS,55.0,40.0,"ABSORPTION,PHASE_D",165.1999969482422,75.0
TARSONS.NS,55.0,40.0,"ABSORPTION,PHASE_D",211.82000732421875,75.0
SURYAROSNI.NS,55.0,35.0,ABSORPTION,242.3500061035156,72.5
ITC.NS,55.0,35.0,ABSORPTION,305.5,72.5
COSMOFIRST.NS,55.0,35.0,ABSORPTION,696.75,72.5
PENINLAND.NS,55.0,35.0,ABSORPTION,19.979999542236328,72.5
TATAELXSI.NS,55.0,35.0,ABSORPTION,4362.5,72.5
SUNTECK.NS,55.0,35.0,ABSORPTION,357.8500061035156,72.5
CIEINDIA.NS,55.0,35.0,ABSORPTION,471.7000122070313,72.5
TCS.NS,55.0,35.0,ABSORPTION,2538.5,72.5
JIOFIN.NS,55.0,35.0,ABSORPTION,238.509994506836,72.5
JISLJALEQS.NS,55.0,35.0,ABSORPTION,32.380001068115234,72.5
JKLAKSHMI.NS,55.0,35.0,ABSORPTION,659.9500122070312,72.5
CAMLINFINE.NS,55.0,35.0,ABSORPTION,107.01000213623048,72.5
CLEAN.NS,55.0,35.0,ABSORPTION,765.5499877929688,72.5
DEN.NS,55.0,35.0,ABSORPTION,28.11000061035156,72.5
JUBLFOOD.NS,55.0,35.0,ABSORPTION,493.1000061035156,72.5
SPANDANA.NS,55.0,35.0,ABSORPTION,231.1300048828125,72.5
IGARASHI.NS,55.0,35.0,ABSORPTION,360.5499877929688,72.5
FCL.NS,55.0,35.0,ABSORPTION,23.049999237060547,72.5
RAJRATAN.NS,55.0,35.0,ABSORPTION,416.5499877929688,72.5
SFL.NS,55.0,35.0,ABSORPTION,564.5,72.5
HIMATSEIDE.NS,55.0,35.0,ABSORPTION,93.38999938964844,72.5
MCLOUD.NS,55.0,35.0,ABSORPTION,25.799999237060547,72.5
GICHSGFIN.NS,55.0,35.0,ABSORPTION,155.82000732421875,72.5
RHIM.NS,55.0,35.0,ABSORPTION,414.1499938964844,72.5
